Model,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
Random Forest,0.9429471338259889,0.011241812221883486,0.9447758687411193,0.012703039446780076,0.8695060922541341,0.02089148195260499,0.8755450973126742,0.02125283946884281,0.8625,0.03306368801688308,0.8686803697173563,0.02186462767054038,0.13281771369129963,0.0044517775463266355
LightGBM,0.914515417075698,0.003116722391000459,0.8911729618707976,0.014387788783174042,0.858024640992167,0.015078985174882395,0.8558641809031734,0.021674085511906013,0.8625,0.021027738789777456,0.8589341249188474,0.0144591174598155,0.1088416464523219,0.007245585654495174
XGBoost,0.9086113326697933,0.012151038028916995,0.8915123176659006,0.021453854015098393,0.853848455178416,0.015469137332266186,0.8580600385511892,0.015173194333457091,0.8489583333333334,0.026557393299962397,0.8532919267441257,0.01640307133100451,0.11663048483709937,0.008694345909257646
Logistic Regression,0.5930238272160413,0.011201519563092894,0.5961208504058494,0.010649314506080762,0.5584734007832898,0.023273821198514243,0.5591222175523982,0.024743059454249584,0.5635416666666666,0.032609324671871956,0.561039199041564,0.025086515726442635,0.2435533454732007,0.0021767420457464663
