,val_best_f1,thr,test_acc,test_f1,test_auroc,test_pr_auc
LogReg(no-graph),0.6397709526288391,0.43571428571428567,0.7324246771879483,0.7615851709811441,0.8103162562605951,0.8004255281917432
MLP(no-graph),0.6540880503144654,0.43571428571428567,0.7225609756097561,0.7506849315068493,0.799759537546068,0.7795653265661868
GATv2,0.651641352278295,0.43571428571428567,0.7089311334289814,0.734239397412805,0.7809863748238746,0.7785957150582286
GraphSAGE,0.6945126945126945,0.5459183673469388,0.71987087517934,0.7264448336252189,0.7872120924145962,0.7815076151723115
GCN,0.5553145336225597,0.4724489795918367,0.6978120516499282,0.7171394997481954,0.7491084330712836,0.7574686858175614
