Model,roc_auc_mean,roc_auc_std,avg_precision_mean,avg_precision_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std
LightGBM,0.9129423788358058,0.006065862831649637,0.8904905608987912,0.014702112179587432,0.858024640992167,0.016992059547986407,0.856524730315298,0.02373903911560117,0.8614583333333334,0.011990483784605573,0.858876067142166,0.01555734515396974,0.11056891862169267,0.010429300108466624
XGBoost,0.9093981784467713,0.012159528889534503,0.8949745040311363,0.018883945371064248,0.8528013489991295,0.020394476746752682,0.8564646121831678,0.02260202212237923,0.8489583333333333,0.030369541118985953,0.8524154892627338,0.020841396914151322,0.11511988140872234,0.009124876914444042
Random Forest,0.9024992387470914,0.016807333203927195,0.9034393368028841,0.021102533026623908,0.833504677980853,0.011184729565378462,0.8300324742202795,0.018338510932273722,0.840625,0.03159531435021481,0.8348125669694474,0.012947442054505513,0.16984401913588848,0.0036270539036965268
Logistic Regression,0.5930238272160413,0.011201519563092894,0.5961208504058494,0.010649314506080762,0.5584734007832898,0.023273821198514243,0.5591222175523982,0.024743059454249584,0.5635416666666666,0.032609324671871956,0.561039199041564,0.025086515726442635,0.2435533454732007,0.0021767420457464663
